freq,Omicida,Sesso della vittima,Unità,Nazione,Anno,Omicidi
A,Familiare,M,Valori assoluti,Slovenia,2010,2.0
A,Familiare,M,Valori assoluti,Inghilterra e Galles,2010,46.0
A,Familiare,M,Valori assoluti,Scozia,2010,11.0
A,Familiare,M,Valori assoluti,Irlanda del Nord,2010,1.0
A,Familiare,M,Valori per centomila abitanti,Svizzera,2010,0.16
A,Familiare,M,Valori per centomila abitanti,Repubblica Ceca,2010,0.23
A,Familiare,M,Valori per centomila abitanti,Finlandia,2010,0.27
A,Familiare,M,Valori per centomila abitanti,Ungheria,2010,0.08
A,Familiare,M,Valori per centomila abitanti,Islanda,2010,0.0
A,Familiare,M,Valori per centomila abitanti,Italia,2010,0.2
A,Familiare,M,Valori per centomila abitanti,Lituania,2010,0.83
A,Familiare,M,Valori per centomila abitanti,Paesi Bassi,2010,0.2
A,Familiare,M,Valori per centomila abitanti,Slovenia,2010,0.2
A,Familiare,M,Valori per centomila abitanti,Inghilterra e Galles,2010,0.17
A,Familiare,M,Valori per centomila abitanti,Scozia,2010,0.43
A,Familiare,M,Valori per centomila abitanti,Irlanda del Nord,2010,0.11
A,Familiare,T,Valori assoluti,Svizzera,2010,10.0
A,Familiare,T,Valori assoluti,Repubblica Ceca,2010,22.0
A,Familiare,T,Valori assoluti,Finlandia,2010,11.0
A,Familiare,T,Valori assoluti,Ungheria,2010,10.0
A,Familiare,T,Valori assoluti,Islanda,2010,0.0
A,Familiare,T,Valori assoluti,Italia,2010,120.0
A,Familiare,T,Valori assoluti,Liechtenstein,2010,1.0
A,Familiare,T,Valori assoluti,Lituania,2010,23.0
A,Familiare,T,Valori assoluti,Paesi Bassi,2010,26.0
A,Familiare,T,Valori assoluti,Slovenia,2010,3.0
A,Familiare,T,Valori assoluti,Inghilterra e Galles,2010,85.0
A,Familiare,T,Valori assoluti,Scozia,2010,15.0
A,Familiare,T,Valori assoluti,Irlanda del Nord,2010,1.0
A,Familiare,T,Valori per centomila abitanti,Svizzera,2010,0.13
A,Familiare,T,Valori per centomila abitanti,Repubblica Ceca,2010,0.21
A,Familiare,T,Valori per centomila abitanti,Finlandia,2010,0.21
A,Familiare,T,Valori per centomila abitanti,Ungheria,2010,0.1
A,Familiare,T,Valori per centomila abitanti,Islanda,2010,0.0
A,Familiare,T,Valori per centomila abitanti,Italia,2010,0.2
A,Familiare,T,Valori per centomila abitanti,Liechtenstein,2010,2.79
A,Familiare,T,Valori per centomila abitanti,Lituania,2010,0.73
A,Familiare,T,Valori per centomila abitanti,Paesi Bassi,2010,0.16
A,Familiare,T,Valori per centomila abitanti,Slovenia,2010,0.15
A,Familiare,T,Valori per centomila abitanti,Inghilterra e Galles,2010,0.15
A,Familiare,T,Valori per centomila abitanti,Scozia,2010,0.29
A,Familiare,T,Valori per centomila abitanti,Irlanda del Nord,2010,0.06
A,Partner,F,Valori assoluti,Svizzera,2010,15.0
A,Partner,F,Valori assoluti,Repubblica Ceca,2010,26.0
A,Partner,F,Valori assoluti,Finlandia,2010,17.0
A,Partner,F,Valori assoluti,Ungheria,2010,24.0
A,Partner,F,Valori assoluti,Islanda,2010,0.0
A,Partner,F,Valori assoluti,Italia,2010,50.0
A,Partner,F,Valori assoluti,Lituania,2010,21.0
A,Partner,F,Valori assoluti,Paesi Bassi,2010,30.0
A,Partner,F,Valori assoluti,Slovenia,2010,2.0
